genes	third_instar	fifth_instar	early_pupa	late_pupa	adult
lcl|KZ248545.1_cds_OWR55025.1_199	0.0	0.144629	0.307747	0.477286	1.58482
lcl|KZ248545.1_cds_OWR55026.1_200	0.0	0.141787	0.129296	0.155909	0.709211
lcl|KZ248545.1_cds_OWR55027.1_201	65.6766	49.9587	25.6358	32.0069	21.5476
lcl|KZ248545.1_cds_OWR55028.1_202	1.85612	1.30413	4.96648	4.64433	4.49407
lcl|KZ248545.1_cds_OWR55029.1_203	0.0	0.0	0.0	0.0	0.0
lcl|KZ248545.1_cds_OWR55030.1_204	0.131574	0.124003	0.17201	0.578475	0.736242
lcl|KZ248545.1_cds_OWR55031.1_205	54.4451	33.3655	48.2174	33.416	40.6624
lcl|KZ248545.1_cds_OWR55032.1_206	13.8408	5.06476	7.00639	7.37592	6.66476
lcl|KZ248545.1_cds_OWR55033.1_207	71.8216	35.6513	45.9548	33.0254	15.3623
lcl|KZ248545.1_cds_OWR55034.1_208	6.32834	11.0528	32.426	36.9599	8.23077
lcl|KZ248545.1_cds_OWR55035.1_209	9.4568	3.06802	5.02328	4.48433	1.4499
lcl|KZ248545.1_cds_OWR55036.1_210	6.11356	2.23194	4.87055	7.48608	4.11208
lcl|KZ248545.1_cds_OWR55037.1_211	47.0244	15.7795	17.8896	46.5371	31.3086
lcl|KZ248545.1_cds_OWR55038.1_212	13.1721	6.43321	8.94041	10.2004	7.81655
lcl|KZ248545.1_cds_OWR55039.1_213	2.89015	1.69788	1.64069	2.1941	0.910543
lcl|KZ248545.1_cds_OWR55040.1_214	4.90965	4.71255	6.92662	6.21283	2.74031
lcl|KZ248545.1_cds_OWR55041.1_215	223.81	557.098	8.76262	38.2468	31.8201
lcl|KZ248545.1_cds_OWR55042.1_216	159.802	181.002	0.197356	0.190906	8.93909
lcl|KZ248545.1_cds_OWR55043.1_217	3.49924	1.67217	4.49112	2.11557	1.12993
lcl|KZ248545.1_cds_OWR55044.1_218	8.80906	3.27602	13.1703	10.0418	5.21916
lcl|KZ248545.1_cds_OWR55045.1_219	131.285	578.032	27.9636	0.11075	0.309691
lcl|KZ248545.1_cds_OWR55046.1_220	1.26765	0.641858	3.15354	1.46552	1.24597
lcl|KZ248545.1_cds_OWR55047.1_221	94.9198	34.5307	12.6807	0.898623	3.19241
lcl|KZ248545.1_cds_OWR55048.1_222	0.0	0.358802	0.109053	1.05725	2.49045
lcl|KZ248545.1_cds_OWR55049.1_223	0.0	0.0	0.215139	2.6274	3.0787
lcl|KZ248545.1_cds_OWR55050.1_224	328.89	1.54946	272.647	26.811	2.30999
lcl|KZ248545.1_cds_OWR55051.1_225	67.6273	53.1873	57.6205	3.23651	68.6646
lcl|KZ248545.1_cds_OWR55052.1_226	4.37079	1.42647	6.71076	0.994892	1.26914
lcl|KZ248545.1_cds_OWR55053.1_227	10.8491	4.0197	11.4385	12.3912	11.7658
lcl|KZ248545.1_cds_OWR55054.1_228	25.4746	15.8759	36.2367	26.435	21.4394
lcl|KZ248545.1_cds_OWR55055.1_229	10.3889	2.66282	6.75857	4.61984	3.3638
lcl|KZ248545.1_cds_OWR55056.1_230	30.7176	16.477	23.3749	13.8751	9.97787
lcl|KZ248545.1_cds_OWR55057.1_231	9.61647	4.44086	4.62027	5.86908	5.09657
lcl|KZ248545.1_cds_OWR55058.1_232	37.3858	15.6402	25.3223	25.893	14.6794
lcl|KZ248545.1_cds_OWR55059.1_233	7.91713	2.401	4.36058	5.68834	4.07737
lcl|KZ248545.1_cds_OWR55060.1_234	15.9801	5.88223	8.0106	24.0345	18.2136
lcl|KZ248545.1_cds_OWR55061.1_235	3.34344	1.23106	3.85649	2.21506	1.50075
lcl|KZ248545.1_cds_OWR55062.1_236	7.03861	2.98649	5.82325	5.81693	2.29597
lcl|KZ248545.1_cds_OWR55063.1_237	3.52424	1.7952	6.54921	4.73907	2.85056
lcl|KZ248545.1_cds_OWR55064.1_238	7.12335	3.48915	5.11118	4.26736	2.19647
lcl|KZ248545.1_cds_OWR55065.1_239	11.93	7.49685	30.0625	16.6567	17.9256
lcl|KZ248545.1_cds_OWR55066.1_240	4.03172	3.23712	4.63878	3.08183	11.1103
lcl|KZ248545.1_cds_OWR55067.1_241	0.176256	0.103703	0.494634	0.217943	0.47135
lcl|KZ248545.1_cds_OWR55068.1_242	0.599512	0.0222994	0.0	0.0	0.0
lcl|KZ248545.1_cds_OWR55069.1_243	0.143119	0.0	0.19192	1.07436	1.66442
lcl|KZ248545.1_cds_OWR55070.1_244	1.70972	1.17368	0.121859	0.248397	0.10268
lcl|KZ248545.1_cds_OWR55071.1_245	8.96191	6.97942	16.6116	16.5702	8.68485
lcl|KZ248545.1_cds_OWR55072.1_246	4.46647	11.0584	32.5356	2.65445	12.9144
lcl|KZ248545.1_cds_OWR55073.1_247	16.3439	41.9865	109.111	12.7783	43.726
lcl|KZ248545.1_cds_OWR55074.1_248	0.809603	0.123924	4.42036	0.196227	0.11355
lcl|KZ248545.1_cds_OWR55075.1_249	5.49204	4.73642	2.76733	8.20096	25.1307
lcl|KZ248545.1_cds_OWR55076.1_250	0.707755	0.4738	0.950071	3.00407	5.1945
lcl|KZ248545.1_cds_OWR55077.1_251	4.90459	5.44453	10.2877	9.54425	9.66023
lcl|KZ248545.1_cds_OWR55078.1_252	0.0	0.0	0.0	0.12902	0.180327
lcl|KZ248545.1_cds_OWR55079.1_253	20.3361	11.859	17.1765	11.5988	6.5775
lcl|KZ248545.1_cds_OWR55080.1_254	5.10934	1.99671	4.1797	5.18201	1.76808
lcl|KZ248545.1_cds_OWR55081.1_255	0.526386	0.107974	0.0366604	0.202985	0.265578
